ID,Average Speed (km/h),Waiting Time,Speed Factor
274,27.837073170731706,0.0,1.19
221,33.441428571428574,0.0,0.86
231,15.75392670157068,11.2,0.82
260,23.305827814569536,0.0,0.85
242,36.72605042016807,0.0,1.2
165,14.866031250000002,57.8,1.04
222,11.865233380480905,29.7,1.0
166,24.33793212312549,26.2,0.98
249,24.32962962962963,5.8,1.02
244,25.78408839779006,6.1,0.99
250,36.465964912280704,0.0,1.11
218,20.607961859356372,7.2,0.96
233,26.82434042553191,0.5,1.03
265,27.783351955307268,0.0,1.06
191,18.011209964412814,39.3,1.09
180,15.884368174726989,37.6,1.07
138,32.15735037768739,0.0,1.01
185,28.97329103885805,0.0,0.96
282,25.2672,0.0,1.02
164,17.273225806451613,22.3,0.76
223,18.82002344665885,19.8,0.95
297,1.0498203592814372,14.6,1.11
251,32.89507154213037,0.0,0.94
243,19.543409395973157,11.2,0.9
294,38.448311688311684,0.0,1.0
237,26.84212048192771,0.0,0.95
254,18.99710924369748,12.9,0.93
281,33.16463611859838,0.0,1.03
286,38.884918032786885,0.0,0.96
275,41.832901878914406,0.6,1.14
212,9.028353982300883,60.7,1.01
240,20.281684210526315,28.0,1.19
256,20.93502857142857,15.4,1.1
269,21.156155268022182,0.0,0.93
247,22.435089514066494,0.0,1.0
272,29.166293706293704,17.3,1.0
236,25.34958554729012,13.1,0.96
310,28.566282722513087,0.0,1.32
299,31.63909090909091,0.0,1.03
215,27.715030198446936,0.0,0.89
270,30.820682926829267,0.5,1.07
268,36.76860282574569,0.0,1.19
241,18.336211453744493,20.2,0.95
287,22.52724946695096,0.0,0.86
264,21.235410764872523,3.1,1.1
263,27.303578363384194,7.2,1.14
239,21.316363636363636,14.9,0.86
213,13.145346534653466,45.8,0.93
296,26.730439024390247,0.6,1.13
273,19.270917573872474,15.1,1.12
290,39.60947368421052,0.0,1.1
336,0.0,0.0,1.08
333,15.625945945945945,0.0,0.99
255,23.88098016336056,0.0,0.81
337,22.057627118644067,0.0,1.11
232,23.02865886588659,23.3,0.97
326,26.467118644067796,0.0,1.02
283,32.15798319327731,0.0,1.09
293,32.9921689059501,0.0,0.8
331,22.09967213114754,0.0,0.89
206,12.175159944367175,72.1,0.93
317,23.47692307692308,0.5,1.04
298,18.09801047120419,11.3,0.92
284,24.09287671232877,14.1,1.1
302,11.526417112299464,13.1,0.97
345,24.043053435114505,2.7,1.06
346,23.544672897196264,0.0,0.99
257,16.205004965243297,23.1,1.08
308,39.44480314960631,0.0,0.97
235,30.019609756097566,0.9,1.03
285,11.864307692307692,20.7,0.95
